indes,season,episodes,title
83,4,20,ゴシップとツナ缶の法則
84,4,21,ルームメイト協定
85,4,22,ダブルデートと潜入捜査の法則
86,4,23,婚約と心臓発作の法則
87,4,24,部屋交換と一夜のアクシデントの法則
88,5,1,女友達と男友達の法則
89,5,2,遠距離恋愛と椅子の法則
90,5,3,ダンスと同居の法則
91,5,4,恋愛とお金の法則
92,5,5,宇宙ロケットと仲直りの法則
93,5,6,マザコン息子の法則
94,5,7,ハロウィーンに揺れる心の法則
95,5,8,花嫁と孤独な女友達の法則
96,5,9,鳥恐怖症と元カレ&元カノの法則
97,5,10,恋に火をつける嫉妬の法則
98,5,11,いじめっ子と罪滅ぼしの法則
99,5,12,マジカルな仲直りの法則
100,5,13,2回目の初デートの法則
101,5,14,理想の彼女はSiriの法則
102,5,15,友情とニックネームの法則
103,5,16,有意義な休暇の過ごし方の法則
104,5,17,オフィス争奪バトルの法則
105,5,18,散髪とシェルドン崩壊の法則
106,5,19,週末の過ごし方の法則
107,5,20,オモチャでの遊び方の法則
108,5,21,ホーキング博士に首ったけの法則
109,5,22,独身最後のパーティーの法則
110,5,23,ミッション・キャンセルの法則
111,5,24,最高の結婚式の法則
112,6,1,カップルとおじゃま虫の法則
113,6,2,別れ話と偽ハワードの法則
114,6,3,ノーベル賞と美人助手の法則
115,6,4,宇宙飛行士の出迎え方の法則
116,6,5,武勇伝とオルドリンの法則
117,6,6,ホーキング博士と友達になるための法則
118,6,7,彼女の機嫌を損ねないための法則
119,6,8,シェルドンの秘め事とナンバー43の法則
120,6,9,駐車場をめぐる全面戦争の法則
121,6,10,父子の時間と魚釣りの法則
122,6,11,サンタクロース救出ゲームの法則
123,6,12,卵サンドは禁句の法則
124,6,13,コスプレ珍道中とコミック談議の法則
125,6,14,シェルドン VS クリプキの法則
126,6,15,ネタバレと同居解消の法則
127,6,16,各カップルのバレンタインデーの法則
128,6,17,トイレの窓とラージ崩壊の法則
129,6,18,女性科学者とプリンセスの法則
130,6,19,クローゼットとパパからの手紙の法則
131,6,20,終身在職権をめぐる争いの法則
132,6,21,中途半端が許せないシェルドンの法則
133,6,22,プロトン教授のお宅訪問の法則
134,6,23,愛の呪文の効果の法則
135,6,24,それぞれに訪れた転機の法則
136,7,1,レナードがいない時の過ごし方の法則
137,7,2,秘密の帰国と女性ホルモンの法則
138,7,3,コイン探しの法則
139,7,4,落ち込みの法則
140,7,5,職場とプライベートの法則
141,7,6,それぞれのロマンチックの法則
142,7,7,プロトン教授すげ替えの法則
143,7,8,かゆみ止めの法則
144,7,9,思いがけない結婚と離婚の法則
145,7,10,最高の夫と最高の妻の法則
146,7,11,シェルドンがいなければの法則
147,7,12,ペニーの大ブレイクの法則
148,7,13,仕事か夢かの法則
149,7,14,ダース・ベイダーと過ごす夜の法則
150,7,15,バレンタイン・デートの法則
151,7,16,ハワードの選択の法則
152,7,17,ラージの殺し文句の法則
153,7,18,未来からの殺人者の法則
154,7,19,優柔不断な男女の法則
155,7,20,シェルドンの別れのプロセスの法則
156,7,21,復活! 何でもありの木曜日の法則
157,7,22,スター・ウォーズ・デーの法則
158,7,23,ボクらの解決策の法則
159,7,24,万物流転の法則
160,8,1,旅の終わりの法則
161,8,2,シェルドンの講義の法則
162,8,3,カップルの相性の法則
163,8,4,コミックストア出資の法則
164,8,5,集中力向上の法則
165,8,6,苦手克服の法則
166,8,7,行き違いの法則
167,8,8,大人のプロムの法則
168,8,9,内緒の手術の法則
169,8,10,旗で遊ぼう最終回の法則
170,8,11,クリスマスの奇跡の法則
171,8,12,宇宙探査機の消息の法則
172,8,13,最適なストレスレベルの法則
173,8,14,ネット荒らしの法則
174,8,15,コミックストア再オープンの法則
175,8,16,恋に落ちる心理学の法則
176,8,17,火星移住の法則
177,8,18,残り物の晩餐の法則
178,8,19,スカイウォーカー侵略の法則
179,8,20,要塞建築の法則
180,8,21,エイリアンへのメッセージの法則
181,8,22,卒業式のスピーチの法則
182,8,23,子育て対決の法則
183,8,24,一大決心の法則
184,9,1,勢いで結婚の法則
185,9,2,揺れ動く距離の法則
186,9,3,独身さよならパーティーの悲劇の法則
187,9,4,2003年をインストールの法則
188,9,5,エクササイズ導入の法則
189,9,6,ヘリウムを手に入れろ!の法則
190,9,7,スポックの影響の法則
191,9,8,デート観察の法則
192,9,9,プラトニックな恋愛の法則
193,9,10,頭から離れないあの歌の正体の法則
194,9,11,公開初日のジレンマの法則
195,9,12,恋しさと懐かしさと自分らしさの法則
196,9,13,最適な思いやりの法則
197,9,14,ばあば
198,9,15,バレンタインの若気の至りの法則
199,9,16,うれしさと不安の法則
200,9,17,シェルドンを祝う方法の法則
201,9,18,特許申請の法則
202,9,19,買い出しと言い訳の法則
203,9,20,山小屋で過ごす週末の法則
204,9,21,アツいパーティーの法則
205,9,22,アルコールありなしの法則
206,9,23,割り込みの法則
207,9,24,冷ややかな再会の法則
208,10,1,2度目の結婚式の法則
209,10,2,政府の極秘プロジェクトの法則
210,10,3,カフェイン依存症の法則
211,10,4,同棲実験の法則
212,10,5,汚染された風呂の法則
213,10,6,赤ちゃんキックの余波の法則
214,10,7,ビュリダンのロバの法則
215,10,8,星空の下のディナーの法則
216,10,9,地質学者と張り合う法則
217,10,10,所持品を分け合う法則
218,10,11,彗星のごとき登場の法則
219,10,12,新年の報告会の法則
220,10,13,夫婦の危機を乗り越える法則
221,10,14,感情読み取りマシンの法則
222,10,15,機関士シェルドンの法則
223,10,16,援助打ち切りの法則
224,10,17,コミコンに関するから騒ぎの法則
225,10,18,カップルと同居人の法則
226,10,19,共同作業の基本ルールの法則
227,10,20,記憶ぶっ飛びの法則
228,10,21,彼女をつなぎ止める法則
229,10,22,年齢に打ち勝つ法則
230,10,23,プロジェクト第二段階の法則
231,10,24,訪れた不協和音の法則
232,11,1,プロポーズは突然にの法則
233,11,2,発言撤回の法則
234,11,3,ゆるーいシェルドンの法則
235,11,4,ロケット打ち上げの法則
236,11,5,残業はもうやめての法則
237,11,6,プロトン教授になりたい!の法則
238,11,7,地質学者とコラボしちゃう法則
239,11,8,テスラvsエジソンの法則
240,11,9,ビットコイン捜索の法則
241,11,10,自信喪失の法則
242,11,11,特別な誕生日パーティーの法則
243,11,12,介添人選定の法則
244,11,13,ソロ活動へ揺れ動く法則
245,11,14,恋の三角形分割の法則
246,11,15,現実と小説の相関関係の法則
247,11,16,新生児命名の法則
248,11,17,会場予約の法則
249,11,18,ゲイツによる励起挙動の法則
250,11,19,管理組合の理事長になる法則
251,11,20,心置きなく独身にサヨナラする法則
252,11,21,命名における分極挙動の法則
253,11,22,金銭欠乏の法則
254,11,23,兄弟の契りの法則
255,11,24,2人の愛と非対称の法則
256,12,1,新婚旅行におけるスケジュール設定の法則
257,12,2,結婚プレゼント解明の法則
258,12,3,最適な家族計画の法則
259,12,4,タムと宿敵リストの法則
260,12,5,プラネタリウムが衝突を生む法則
261,12,6,仲間の仮装における摂動の法則
262,12,7,最適な補助金交付を導く法則
263,12,8,初めての交わりで脱線する法則
264,12,9,参考文献を確認する時の法則
265,12,10,ビデオと手品とひらめきの法則
266,12,11,ペイントボール多重散乱の法則
267,12,12,繁殖命題の法則
268,12,13,論文をめぐる分極化の法則
269,12,14,隕石がもたらす兆候の法則
270,12,15,精子提供で揺れ動く法則
271,12,16,ダンジョン＆セレブの法則
272,12,17,赤ちゃんと楽しむ科学実験の法則
273,12,18,受賞者集合の法則
274,12,19,自信喪失と瞑想の法則
275,12,20,多重反射的決断の法則
276,12,21,道徳的決断の法則
277,12,22,母性か研究かの法則
278,12,23,変化の不可避性の法則
279,12,24,ストックホルム症候群の法則
